# z gammaA
1.991359062233437926e-05 1.345630022778039717e+53
2.019075580497307575e-05 1.308939650904425467e+53
2.047177868158188906e-05 1.273249687099665505e+53
2.075671294506201858e-05 1.238532854015410755e+53
2.104561303563356423e-05 1.204762618053544025e+53
2.133853415123702335e-05 1.171913169086922400e+53
2.163553225807951492e-05 1.139959400733053821e+53
2.193666410132783529e-05 1.108876891165643105e+53
2.224198721595032071e-05 1.078641884449326790e+53
2.255155993770961714e-05 1.049231272383344702e+53
2.286544141430844128e-05 1.020622576840270908e+53
2.318369161669049419e-05 9.927939325862799351e+52
2.350637135049863855e-05 9.657240705698703789e+52
2.383354226769259244e-05 9.393923016662131938e+52
2.416526687832826765e-05 9.137785008647489277e+52
2.450160856250112386e-05 8.888630918879196299e+52
2.484263158245569395e-05 8.646270322292946303e+52
2.518840109486369922e-05 8.410517985996487243e+52
2.553898316327303153e-05 8.181193727698702123e+52
2.589444477073001130e-05 7.958122277998782354e+52
2.625485383257727265e-05 7.741133146430339428e+52
2.662027920943010827e-05 7.530060491157725747e+52
2.699079072033254789e-05 7.324742992225789166e+52
2.736645915609794763e-05 7.125023728264838741e+52
2.774735629283360571e-05 6.930750056558280827e+52
2.813355490565533720e-05 6.741773496379478661e+52
2.852512878259117762e-05 6.557949615510449883e+52
2.892215273868039882e-05 6.379137919853886007e+52
2.932470263026693927e-05 6.205201746055932868e+52
2.973285536949362513e-05 6.036008157055834334e+52
3.014668893899624037e-05 5.871427840484443403e+52
3.056628240680404245e-05 5.711335009832146847e+52
3.099171594144569032e-05 5.555607308312415335e+52
3.142307082726747273e-05 5.404125715345809559e+52
3.186042947996262396e-05 5.256774455594600504e+52
3.230387546231893684e-05 5.113440910476923106e+52
3.275349350018339579e-05 4.974015532094325178e+52
3.320936949865115843e-05 4.838391759505492006e+52
3.367159055847775400e-05 4.706465937283520846e+52
3.414024499272178329e-05 4.578137236293248616e+52
3.461542234361717114e-05 4.453307576629202480e+52
3.509721339968243243e-05 4.331881552654241097e+52
3.558571021306577905e-05 4.213766360082631457e+52
3.608100611713400301e-05 4.098871725050742148e+52
3.658319574430379394e-05 3.987109835122274314e+52
3.709237504412353433e-05 3.878395272174181668e+52
3.760864130160484760e-05 3.772644947112970439e+52
3.813209315581047183e-05 3.669778036370793053e+52
3.866283061870037693e-05 3.569715920133139893e+52
3.920095509424033326e-05 3.472382122250796384e+52
3.974656939777636050e-05 3.377702251790193745e+52
4.029977777567887861e-05 3.285603946177476986e+52
4.086068592526026743e-05 3.196016815892772834e+52
4.142940101496967039e-05 3.108872390672476919e+52
4.200603170486882335e-05 3.024104067178380741e+52
4.259068816739290669e-05 2.941647058093673841e+52
4.318348210840039150e-05 2.861438342606895555e+52
4.378452678851577616e-05 2.783416618246017121e+52
4.439393704476946885e-05 2.707522254025806907e+52
4.501182931253880733e-05 2.633697244872708687e+52
4.563832164779447798e-05 2.561885167292367849e+52
4.627353374965658306e-05 2.492031136245948504e+52
4.691758698326463877e-05 2.424081763202257499e+52
4.757060440296587459e-05 2.357985115333634830e+52
4.823271077582629978e-05 2.293690675824427823e+52
4.890403260546900903e-05 2.231149305261681275e+52
4.958469815624423377e-05 2.170313204078576176e+52
5.027483747773587561e-05 2.111135876021886795e+52
5.097458242960904837e-05 2.053572092615544746e+52
5.168406670680344007e-05 1.997577858593150187e+52
5.240342586507786151e-05 1.943110378272967600e+52
5.313279734690874614e-05 1.890128022849866123e+52
5.387232050775178323e-05 1.838590298578892183e+52
5.462213664266582356e-05 1.788457815826583443e+52
5.538238901331076711e-05 1.739692258965906004e+52
5.615322287531771840e-05 1.692256357092267702e+52
5.693478550604366082e-05 1.646113855537777746e+52
5.772722623270882728e-05 1.601229488162411144e+52
5.853069646092932352e-05 1.557568950400493373e+52
5.934534970364319486e-05 1.515098873042297320e+52
6.017134161044287218e-05 1.473786796730321718e+52
6.100882999731201866e-05 1.433601147151157243e+52
6.185797487678018722e-05 1.394511210903579557e+52
6.271893848849324933e-05 1.356487112024823136e+52
6.359188533021320163e-05 1.319499789156707447e+52
6.447698218924559550e-05 1.283520973334532765e+52
6.537439817430826402e-05 1.248523166381422045e+52
6.628430474783962513e-05 1.214479619891928728e+52
6.720687575876076408e-05 1.181364314788525175e+52
6.814228747568933000e-05 1.149151941435661857e+52
6.909071862061997823e-05 1.117817880295888897e+52
7.005235040306923065e-05 1.087338183113564164e+52
7.102736655470002775e-05 1.057689554611459265e+52
7.201595336442366839e-05 1.028849334686578923e+52
7.301829971399479053e-05 1.000795481091294114e+52
7.403459711409791574e-05 9.735065525868050783e+51
7.506503974093875747e-05 9.469616925558817113e+51
7.610982447334374915e-05 9.211406130624482740e+51
7.716915093037627596e-05 8.960235793457925575e+51
7.824322150947627807e-05 8.715913947375659199e+51
7.933224142513082828e-05 8.478253859900402179e+51
8.043641874808294843e-05 8.247073890044010878e+51
8.155596444508602326e-05 8.022197349481809628e+51
8.269109241921164543e-05 7.803452367512192721e+51
8.384201955071845375e-05 7.590671759698241104e+51
8.500896573848978454e-05 7.383692900090958543e+51
8.619215394204809153e-05 7.182357596936575191e+51
8.739181022415408939e-05 6.986511971772759143e+51
8.860816379399887466e-05 6.796006341821479570e+51
8.984144705099716900e-05 6.610695105588535364e+51
9.109189562919011438e-05 6.430436631582357860e+51
9.235974844226607714e-05 6.255093150067052942e+51
9.364524772920802603e-05 6.084530647766922131e+51
9.494863910057636108e-05 5.918618765441955979e+51
9.627017158543579932e-05 5.757230698256097948e+51
9.761009767893545153e-05 5.600243098862096744e+51
9.896867339055123822e-05 5.447535983128835322e+51
1.003461582929994402e-04 5.298992638439128306e+51
1.017428155718317788e-04 5.154499534487881007e+51
1.031589120757196552e-04 5.013946236512513693e+51
1.045947183674392596e-04 4.877225320889172432e+51
1.060505087755658695e-04 4.744232293030356644e+51
1.075265614468877201e-04 4.614865507521170634e+51
1.090231583995493936e-04 4.489026090433158306e+51
1.105405855769348781e-04 4.366617863756320498e+51
1.120791329023005560e-04 4.247547271891613171e+51
1.136390943341687054e-04 4.131723310147724023e+51
1.152207679224918695e-04 4.019057455187423151e+51
1.168244558655989773e-04 3.909463597370445583e+51
1.184504645679341226e-04 3.802857974941071776e+51
1.200991046985988879e-04 3.699159110010196470e+51
1.217706912507095533e-04 3.598287746282913173e+51
1.234655436015804004e-04 3.500166788484033211e+51
1.251839855737447787e-04 3.404721243435241020e+51
1.269263454968252655e-04 3.311878162738858727e+51
1.286929562702652781e-04 3.221566587024401379e+51
1.304841554269335234e-04 3.133717491715319710e+51
1.323002851976138607e-04 3.048263734274474499e+51
1.341416925763927492e-04 2.965140002888045632e+51
1.360087293869567194e-04 2.884282766548613142e+51
1.379017523498127186e-04 2.805630226499292949e+51
1.398211231504439323e-04 2.729122269001818235e+51
1.417672085084141476e-04 2.654700419392449022e+51
1.437403802474345892e-04 2.582307797390575780e+51
1.457410153664047219e-04 2.511889073625960598e+51
1.477694961114429299e-04 2.443390427351234009e+51
1.498262100489194048e-04 2.376759505307467853e+51
1.519115501395054734e-04 2.311945381711295236e+51
1.540259148132535141e-04 2.248898519333061817e+51
1.561697080457219629e-04 2.187570731636199838e+51
1.583433394351599908e-04 2.127915145948937093e+51
1.605472242807661387e-04 2.069886167640162567e+51
1.627817836620364664e-04 2.013439445272091194e+51
1.650474445192170428e-04 1.958531836703075101e+51
1.673446397348760919e-04 1.905121376114666930e+51
1.696738082166115427e-04 1.853167241937737109e+51
1.720353949809098654e-04 1.802629725653107484e+51
1.744298512381719710e-04 1.753470201442891876e+51
1.768576344789224083e-04 1.705651096669319610e+51
1.793192085612188005e-04 1.659135863158490665e+51
1.818150437992774576e-04 1.613888949267122883e+51
1.843456170533329472e-04 1.569875772710920899e+51
1.869114118207479674e-04 1.527062694133820526e+51
1.895129183283916264e-04 1.485416991397898367e+51
1.921506336263032627e-04 1.444906834574300647e+51
1.948250616826601247e-04 1.405501261616066342e+51
1.975367134800663966e-04 1.367170154694278941e+51
2.002861071131837060e-04 1.329884217179412353e+51
2.030737678877181861e-04 1.293614951250341591e+51
2.059002284207875377e-04 1.258334636113849774e+51
2.087660287426838378e-04 1.224016306818010262e+51
2.116717164000531039e-04 1.190633733643255266e+51
2.146178465605108284e-04 1.158161402055361481e+51
2.176049821187135702e-04 1.126574493205053800e+51
2.206336938039070667e-04 1.095848864959297746e+51
2.237045602889710058e-04 1.065961033449812954e+51
2.268181683009817622e-04 1.036888155124672038e+51
2.299751127333136979e-04 1.008608009289298104e+51
2.331759967593011716e-04 9.810989811234943752e+50
2.364214319474820195e-04 9.543400451615421160e+50
2.397120383784454392e-04 9.283107492227272391e+50
2.430484447633060130e-04 9.029911987800276461e+50
2.464312885638268312e-04 8.783620417549999137e+50
2.498612161142142914e-04 8.544044537272580059e+50
2.533388827446085090e-04 8.311001235472312874e+50
2.568649529062919448e-04 8.084312393412087887e+50
2.604401002986413746e-04 7.863804748979714321e+50
2.640650079978462683e-04 7.649309764266108429e+50
2.677403685874189766e-04 7.440663496754140048e+50
2.714668842905214969e-04 7.237706474019627663e+50
2.752452671041335413e-04 7.040283571848824936e+50
2.790762389350896593e-04 6.848243895679072755e+50
2.829605317380064515e-04 6.661440665272304080e+50
2.868988876551330485e-04 6.479731102532867519e+50
2.908920591581461070e-04 6.302976322384257600e+50
2.949408091919189208e-04 6.131041226621177359e+50
2.990459113202914273e-04 5.963794400655883560e+50
3.032081498738691352e-04 5.801108013079818541e+50
3.074283200998794352e-04 5.642857717963880403e+50
